날짜,미국USD,전일_대비_달러_변화율(%),달러_상승여부,일본JPY(100엔),전일_대비_엔화_변화율(%),엔화_상승여부
2025-04-01,1471.50,,변동없음,982.41,,변동없음
2025-04-02,1467.50,-0.27%,하락,990.18,0.79%,상승
2025-04-03,1452.20,-1.04%,하락,997.36,0.73%,상승
2025-04-04,1461.50,0.64%,상승,1005.26,0.79%,상승
2025-04-07,1470.50,0.62%,상승,993.98,-1.12%,하락
2025-04-08,1486.50,1.09%,상승,1018.53,2.47%,상승
2025-04-09,1454.50,-2.15%,하락,987.17,-3.08%,하락
2025-04-10,1454.00,-0.03%,하락,1008.11,2.12%,상승
2025-04-11,1427.20,-1.84%,하락,993.18,-1.48%,하락
2025-04-14,1422.00,-0.36%,하락,993.75,0.06%,상승
2025-04-15,1428.50,0.46%,상승,998.99,0.53%,상승
2025-04-16,1417.00,-0.81%,하락,998.49,-0.05%,하락
2025-04-17,1419.50,0.18%,상승,996.87,-0.16%,하락
2025-04-18,1424.50,0.35%,상승,1000.88,0.40%,상승
2025-04-21,1419.70,-0.34%,하락,1007.56,0.67%,상승
2025-04-22,1424.50,0.34%,상승,1014.71,0.71%,상승
2025-04-23,1422.70,-0.13%,하락,1004.55,-1.00%,하락
2025-04-24,1435.80,0.92%,상승,1007.93,0.34%,상승
2025-04-25,1439.80,0.28%,상승,1004.50,-0.34%,하락
2025-04-28,1444.70,0.34%,상승,1008.06,0.35%,상승
2025-04-29,1436.60,-0.56%,하락,1007.15,-0.09%,하락
2025-04-30,1422.00,-1.02%,하락,994.34,-1.27%,하락
2025-05-02,1400.00,-1.55%,하락,967.59,-2.69%,하락
2025-05-07,1392.00,-0.57%,하락,971.49,0.40%,상승
2025-05-08,1398.70,0.48%,상승,966.82,-0.48%,하락
2025-05-09,1399.70,0.07%,상승,963.55,-0.34%,하락
2025-05-12,1419.00,1.38%,상승,959.01,-0.47%,하락
2025-05-13,1423.40,0.31%,상승,961.53,0.26%,상승
2025-05-14,1399.00,-1.71%,하락,958.84,-0.28%,하락
2025-05-15,1398.10,-0.06%,하락,957.64,-0.13%,하락
2025-05-16,1397.60,-0.04%,하락,960.19,0.27%,상승
2025-05-19,1390.00,-0.54%,하락,960.04,-0.02%,하락
2025-05-20,1395.30,0.38%,상승,963.04,0.31%,상승
2025-05-21,1376.00,-1.38%,하락,958.68,-0.45%,하락
2025-05-22,1381.90,0.43%,상승,964.24,0.58%,상승
2025-05-23,1369.60,-0.89%,하락,957.16,-0.73%,하락
2025-05-26,1370.10,0.04%,상승,958.95,0.19%,상승
2025-05-27,1374.00,0.28%,상승,953.44,-0.57%,하락
2025-05-28,1375.90,0.14%,상승,950.83,-0.27%,하락
2025-05-29,1375.00,-0.07%,하락,948.41,-0.25%,하락
2025-05-30,1382.50,0.55%,상승,959.70,1.19%,상승
2025-06-02,1376.30,-0.45%,하락,963.39,0.38%,상승
2025-06-04,1364.80,-0.84%,하락,946.56,-1.75%,하락
2025-06-05,1357.70,-0.52%,하락,947.65,0.12%,상승
2025-06-09,1355.00,-0.20%,하락,939.47,-0.86%,하락
2025-06-10,1367.50,0.92%,상승,945.55,0.65%,상승
2025-06-11,1374.80,0.53%,상승,946.34,0.08%,상승
2025-06-12,1355.10,-1.43%,하락,943.17,-0.33%,하락
2025-06-13,1370.70,1.15%,상승,950.13,0.74%,상승
2025-06-16,1360.80,-0.72%,하락,944.44,-0.60%,하락
2025-06-17,1369.00,0.60%,상승,945.02,0.06%,상승
2025-06-18,1376.20,0.53%,상승,950.05,0.53%,상승
2025-06-19,1381.40,0.38%,상승,949.51,-0.06%,하락
2025-06-20,1366.20,-1.10%,하락,937.04,-1.31%,하락
2025-06-23,1390.60,1.79%,상승,940.74,0.39%,상승
2025-06-24,1360.20,-2.19%,하락,938.10,-0.28%,하락
2025-06-25,1363.00,0.21%,상승,935.32,-0.30%,하락
2025-06-26,1356.90,-0.45%,하락,940.66,0.57%,상승
2025-06-27,1360.00,0.23%,상승,940.69,0.00%,상승
2025-06-30,1354.00,-0.44%,하락,939.04,-0.18%,하락
2025-07-01,1354.20,0.01%,상승,947.92,0.95%,상승
2025-07-02,1359.20,0.37%,상승,943.79,-0.44%,하락
2025-07-03,1369.20,0.74%,상승,943.14,-0.07%,하락
2025-07-04,1363.40,-0.42%,하락,944.41,0.13%,상승
2025-07-07,1369.10,0.42%,상승,939.44,-0.53%,하락
2025-07-08,1370.90,0.13%,상승,934.65,-0.51%,하락
2025-07-09,1376.60,0.42%,상승,939.15,0.48%,상승
2025-07-10,1371.70,-0.36%,하락,938.88,-0.03%,하락
2025-07-11,1376.10,0.32%,상승,936.98,-0.20%,하락
